image,split,ih,iw,sh,sw,color,object,part,material,scene,texture
opensurfaces/25605.jpg,train,224,224,112,112,opensurfaces/25605_color.png,,,opensurfaces/25605_material.png,,
opensurfaces/24183.jpg,train,224,224,112,112,opensurfaces/24183_color.png,,,opensurfaces/24183_material.png,,
opensurfaces/72705.jpg,train,224,224,112,112,opensurfaces/72705_color.png,,,opensurfaces/72705_material.png,,
opensurfaces/100509.jpg,train,224,224,112,112,opensurfaces/100509_color.png,,,opensurfaces/100509_material.png,,
ade20k/ADE_train_00003891.jpg,train,224,224,112,112,ade20k/ADE_train_00003891_color.png,ade20k/ADE_train_00003891_object.png,,,83,
opensurfaces/97035.jpg,train,224,224,112,112,opensurfaces/97035_color.png,,,opensurfaces/97035_material.png,,
ade20k/ADE_train_00006107.jpg,train,224,224,112,112,ade20k/ADE_train_00006107_color.png,ade20k/ADE_train_00006107_object.png,ade20k/ADE_train_00006107_part_1.png,,301,
opensurfaces/20360.jpg,train,224,224,112,112,opensurfaces/20360_color.png,,,opensurfaces/20360_material.png,,
opensurfaces/6582.jpg,train,224,224,112,112,opensurfaces/6582_color.png,,,opensurfaces/6582_material.png,,
opensurfaces/97767.jpg,train,224,224,112,112,opensurfaces/97767_color.png,,,opensurfaces/97767_material.png,,
opensurfaces/65353.jpg,train,224,224,112,112,opensurfaces/65353_color.png,,,opensurfaces/65353_material.png,,
opensurfaces/105165.jpg,train,224,224,112,112,opensurfaces/105165_color.png,,,opensurfaces/105165_material.png,,
ade20k/ADE_train_00010928.jpg,train,224,224,112,112,ade20k/ADE_train_00010928_color.png,ade20k/ADE_train_00010928_object.png,ade20k/ADE_train_00010928_part_1.png,,994,
opensurfaces/32953.jpg,train,224,224,112,112,opensurfaces/32953_color.png,,,opensurfaces/32953_material.png,,
opensurfaces/61999.jpg,train,224,224,112,112,opensurfaces/61999_color.png,,,opensurfaces/61999_material.png,,
opensurfaces/19603.jpg,train,224,224,112,112,opensurfaces/19603_color.png,,,opensurfaces/19603_material.png,,
